Name,Org,MACPool,Mtu,NetCtrl,LPG,QoS,Fabric,Target,TemplType,Descr
ntSrvMgmtA,FlashStack,mpSrvMgmtA,1500,ncpCiscoNIC,,,A,adaptor,updating-template,NIC-A for host mgmt
ntSrvMgmtB,FlashStack,mpSrvMgmtB,1500,ncpCiscoNIC,,,B,adaptor,updating-template,NIC-B for host mgmt
ntVMotion,FlashStack,mpVMotion,1500,ncpStdNIC,,,A-B,adaptor,updating-template,failover NIC for ESXi Vmotion
ntFT,FlashStack,mpFT,1500,ncpStdNIC,,,B-A,adaptor,updating-template,failover NIC for FT Vmotion
ntN1kv,FlashStack,mpN1kv,1500,ncpCiscoNIC,,,B-A,adaptor,updating-template,failover NIC for N1kv for ESXi
ntVMupl1A,FlashStack,mpVMupl1A,1500,ncpStdNIC,,,A,adaptor,updating-template,NIC-A for VM segment
ntVMupl1B,FlashStack,mpVMupl1B,1500,ncpStdNIC,,,A,adaptor,updating-template,NIC-B for VM segment
ntNSXVTEP1A,FlashStack,mpNSXVTEP1A,9000,ncpStdNIC,,,A,adaptor,updating-template,NIC-A for NSX VTEP segment
ntNSXVTEP1B,FlashStack,mpNSXVTEP1B,9000,ncpStdNIC,,,B,adaptor,updating-template,NIC-B for NSX VTEP segment
ntLiveMigration,FlashStack,mpLiveMigration,1500,ncpStdNIC,,,A-B,adaptor,updating-template,NIC-A for VDI ESXi VM segments
